W,NS,"3S,6S,TS,KS,2H,5H,7H,8H,AH,KD,3C,JC,QC","4S,5S,9H,TH,JH,QH,2D,4D,6D,7D,AD,8C,9C","2S,8S,JS,4H,6H,3D,8D,9D,TD,QD,4C,5C,TC","7S,9S,QS,AS,3H,KH,5D,JD,2C,6C,7C,KC,AC","W:p:Minor suit opening -- 3+ !C; 11-21 HCP; 12-22 total points;N:1C:One-level overcall -- 5+ !H; 8-17 HCP; 9-19 total points ;E:1H:Mixed raise -- 4+ !H; 7-9 total points; forcing to 3H ;S:p:11-21 HCP; rebiddable !C; !CKQ; 12-22 total points;W:3C:4+ !H; 7-9 total points ;N:d:;E:p:;S:p:;W:3H:;N:p:;E:p:;S:p:"
S,None,"5S,TS,JS,4H,TH,QH,4D,9D,3C,9C,JC,QC,KC","3S,9S,AS,5H,KH,2D,3D,5D,QD,KD,AD,4C,8C","2S,8S,QS,KS,6H,7H,AH,7D,8D,5C,6C,TC,AC","4S,6S,7S,2H,3H,8H,9H,JH,6D,TD,JD,2C,7C","S:p:Minor suit opening -- 3+ !C; 11-21 HCP; 12-22 total points ;W:1C:Takeout double -- 2- !C; 3-5 !D; 3-4 !H; 3-4 !S; 12+ total points;N:d:;E:p:;S:p:;W:p:"
S,None,"2S,6S,QS,2H,5H,QH,2D,6D,7D,QD,4C,JC,AC","3S,JS,KS,AS,TH,JH,KH,5D,JD,KD,5C,7C,QC","4S,5S,7S,TS,4H,6H,8H,AH,9D,TD,2C,TC,KC","8S,9S,3H,7H,9H,3D,4D,8D,AD,3C,6C,8C,9C","S:p:Minor suit opening -- 3+ !C; 11-21 HCP; 12-22 total points;W:p:Balanced invite -- 2-5 !C; 2-5 !D; 2-3 !H; 2-3 !S; 11 HCP; 12- total points; partial stop in !D; partial stop in !H; partial stop in !S ;N:1C:3+ !C; 5- !H; 5- !S; 14-21 HCP; 22- total points;E:p:;S:2N:;W:p:;N:3N:;E:p:;S:p:;W:p:"
S,None,"2S,6S,QS,2H,5H,QH,2D,6D,7D,QD,4C,JC,AC","3S,JS,KS,AS,TH,JH,KH,5D,JD,KD,5C,7C,QC","4S,5S,7S,TS,4H,6H,8H,AH,9D,TD,2C,TC,KC","8S,9S,3H,7H,9H,3D,4D,8D,AD,3C,6C,8C,9C","S:p:notrump opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 15-;W:p:2-5 !C; 2-5 !D; 2-4 !H; 2-4 !S; 10-11 HCP; 12- total points ;N:1N:;E:p:;S:3N:;W:p:;N:p:;E:p:"
S,None,"2S,6S,QS,2H,5H,QH,2D,6D,7D,QD,4C,JC,AC","3S,JS,KS,AS,TH,JH,KH,5D,JD,KD,5C,7C,QC","4S,5S,7S,TS,4H,6H,8H,AH,9D,TD,2C,TC,KC","8S,9S,3H,7H,9H,3D,4D,8D,AD,3C,6C,8C,9C","S:p:Minor suit opening -- 3+ !C; 11-21 HCP; 12-22 total points;W:p:Balanced invite -- 2-5 !C; 2-5 !D; 2-3 !H; 2-3 !S; 11 HCP; 12- total points; partial stop in !D; partial stop in !H; partial stop in !S ;N:1C:3+ !C; 5- !H; 5- !S; 14-21 HCP; 22- total points;E:p:;S:2N:;W:p:;N:3N:;E:p:;S:p:;W:p:"
S,None,"2S,6S,QS,2H,5H,QH,2D,6D,7D,QD,4C,JC,AC","3S,JS,KS,AS,TH,JH,KH,5D,JD,KD,5C,7C,QC","4S,5S,7S,TS,4H,6H,8H,AH,9D,TD,2C,TC,KC","8S,9S,3H,7H,9H,3D,4D,8D,AD,3C,6C,8C,9C","S:p:notrump opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 15-;W:p:2-5 !C; 2-5 !D; 2-4 !H; 2-4 !S; 10-11 HCP; 12- total points ;N:1N:;E:p:;S:3N:;W:p:;N:p:;E:p:"
S,None,"2S,6S,QS,2H,5H,QH,2D,6D,7D,QD,4C,JC,AC","3S,JS,KS,AS,TH,JH,KH,5D,JD,KD,5C,7C,QC","4S,5S,7S,TS,4H,6H,8H,AH,9D,TD,2C,TC,KC","8S,9S,3H,7H,9H,3D,4D,8D,AD,3C,6C,8C,9C","S:p:Minor suit opening -- 3+ !C; 11-21 HCP; 12-22 total points;W:p:Balanced invite -- 2-5 !C; 2-5 !D; 2-3 !H; 2-3 !S; 11 HCP; 12- total points; partial stop in !D; partial stop in !H; partial stop in !S ;N:1C:3+ !C; 5- !H; 5- !S; 14-21 HCP; 22- total points;E:p:;S:2N:;W:p:;N:3N:;E:p:;S:p:;W:p:"
W,NS,"3S,7S,QS,7H,JH,AH,4D,TD,QD,KD,2C,8C,QC","5S,2H,3H,4H,5H,6H,TH,5D,7D,9D,3C,TC,JC","4S,6S,8S,JS,AS,8H,3D,JD,4C,5C,6C,7C,AC","2S,9S,TS,KS,9H,QH,KH,2D,6D,8D,AD,9C,KC","W:p:Minor suit opening -- 3+ !D; 11-21 HCP; 12-22 total points;N:1D:One over one -- 4+ !S; 6+ total points ;E:p:Simple raise -- 3+ !D; 4 !S; 11+ HCP; 12-15 total points;S:1S:4+ !S; 12+ HCP; 13-18 total points ;W:p:;N:2S:;E:p:;S:4S:;W:p:;N:p:;E:p:"
W,NS,"3S,7S,QS,7H,JH,AH,4D,TD,QD,KD,2C,8C,QC","5S,2H,3H,4H,5H,6H,TH,5D,7D,9D,3C,TC,JC","4S,6S,8S,JS,AS,8H,3D,JD,4C,5C,6C,7C,AC","2S,9S,TS,KS,9H,QH,KH,2D,6D,8D,AD,9C,KC","W:p:Minor suit opening -- 3+ !D; 11-21 HCP; 12-22 total points;N:1D:One over one -- 4+ !S; 6+ total points ;E:p:Simple raise -- 3+ !D; 4 !S; 11+ HCP; 12-15 total points;S:1S:4+ !S; 12+ HCP; 13-18 total points ;W:p:;N:2S:;E:p:;S:4S:;W:p:;N:p:;E:p:"
W,NS,"3S,7S,QS,7H,JH,AH,4D,TD,QD,KD,2C,8C,QC","5S,2H,3H,4H,5H,6H,TH,5D,7D,9D,3C,TC,JC","4S,6S,8S,JS,AS,8H,3D,JD,4C,5C,6C,7C,AC","2S,9S,TS,KS,9H,QH,KH,2D,6D,8D,AD,9C,KC","W:p:Minor suit opening -- 3+ !D; 11-21 HCP; 12-22 total points;N:1D:One over one -- 4+ !S; 6+ total points ;E:p:Simple raise -- 3+ !D; 4 !S; 11+ HCP; 12-15 total points;S:1S:4+ !S; 12+ HCP; 13-18 total points ;W:p:;N:2S:;E:p:;S:4S:;W:p:;N:p:;E:p:"
N,EW,"3S,5S,JS,KS,3H,6H,KH,9D,TD,KD,3C,9C,KC","QS,2H,5H,7H,TH,JH,QH,3D,QD,2C,5C,7C,AC","2S,7S,9S,AS,4H,8H,AH,2D,5D,7D,4C,6C,TC","4S,6S,8S,TS,9H,4D,6D,8D,JD,AD,8C,JC,QC","N:1C:Minor suit opening -- 3+ !C; 11-21 HCP; 12-22 total points;E:p:One over one -- 4+ !H; 6+ total points ;S:1H:3+ !C; 3- !H; 4+ !S; 11+ HCP; 12-18 total points;W:p:Invitational jump rebid -- 6+ !H; 10-12 total points ;N:1S:3+ !C; 2-3 !H; 4+ !S; 14+ HCP; 15-18 total points;E:p:;S:3H:;W:p:;N:4H:;E:p:;S:p:;W:p:"
N,EW,"3S,5S,JS,KS,3H,6H,KH,9D,TD,KD,3C,9C,KC","QS,2H,5H,7H,TH,JH,QH,3D,QD,2C,5C,7C,AC","2S,7S,9S,AS,4H,8H,AH,2D,5D,7D,4C,6C,TC","4S,6S,8S,TS,9H,4D,6D,8D,JD,AD,8C,JC,QC","N:1H:Major suit opening -- 5+ !H; 11-21 HCP; 12-22 total points;E:p:Splinter -- 4+ !H; 1- !S; 13-16 total points ;S:3S!:5-6 !H; 4- !S; 14-21 HCP; 22- total points; partial stop in !C; parti;W:p:4+ !H; 1- !S; 13-16 total points ;N:3N:;E:p:;S:4H:;W:p:;N:p:;E:p:"
N,EW,"3S,5S,JS,KS,3H,6H,KH,9D,TD,KD,3C,9C,KC","QS,2H,5H,7H,TH,JH,QH,3D,QD,2C,5C,7C,AC","2S,7S,9S,AS,4H,8H,AH,2D,5D,7D,4C,6C,TC","4S,6S,8S,TS,9H,4D,6D,8D,JD,AD,8C,JC,QC","N:1C:Minor suit opening -- 3+ !C; 11-21 HCP; 12-22 total points;E:p:One over one -- 4+ !H; 6+ total points ;S:1H:3+ !C; 3- !H; 4+ !S; 11+ HCP; 12-18 total points;W:p:Invitational jump rebid -- 6+ !H; 10-12 total points ;N:1S:;E:p:;S:3H:;W:p:;N:p:;E:p:"
