hand,S,H,D,C,HCP,opening
9C KC QH QD AS TH TD 6S 3C 7H JS 7D 2D,3,3,4,3,12,1D
7C 4H AS 2S 2C 3H JH 7H 8H 5D 3C TH 3S,3,6,1,3,5,PASS
QC JS 3D 9S 7S 6C 2D 5H QD 6D 4S AC AH,4,2,4,3,13,1D
6H KS 7C 9S 6D 2H 4C AD 2D 8D AH 7H 8C,2,4,4,3,11,PASS
4S 3D 4C 6C 4H 7S TH 8D 9S 7C KH QD 3S,4,3,3,3,5,PASS
QS 8C KH AS 5D QC 7H QD AH TC 4H 5C 3D,2,4,3,4,17,1NT
8C 2D 7S 4H 8S AD 3D QH QD TD JD 7C KD,2,2,7,2,12,1D
9H 3C QC KC TD 6S 4C 6D 2H 7H QS KH 8C,2,4,2,5,10,PASS
2S 7S 9D 5S 9S KS 3D 6D 5D AH AD TD QH,5,2,6,0,13,1S
TC 8S 6H QS 5D 2C 6S JH QC TS 3D 2D 5S,5,2,3,3,5,PASS
QS 6H 6C AH 5H AD 2D TD QH JS KC AS KH,3,5,3,2,23,1C
4S AC TS AD 9C 2H QD 7H TH 3D QC KC 4D,2,3,4,4,15,1NT
3C 9D 9C TS 6C AH 4C 2H 5D 8D 2S 7S QS,4,2,3,4,6,PASS
3C TS 8C 8D KS 2D 8H AH KH KC 6S TC QS,4,3,2,4,15,1NT
4C 3D AH JC KH KD 9D 6S QD 7S 4D 2C QC,2,2,5,4,15,1D
7S 5H 8D AH 7C JC AC 7D 8S 3D 8H QD KC,2,3,4,4,14,1D
9S 4D 8S 8C 4H 7S QD 6H TH 5D QH 2H 5C,3,5,3,2,4,PASS
8D 4S KH 6C TC 6H 5C QS KC 9D AH JD 5S,3,3,3,4,13,1C
3S 5D 7H 3H 2D AC QH TC JC TH 9H AD 7D,1,5,4,3,11,1H
2D KS 8D AD JS TS 5D 7S JD 3H JC 7H AS,5,2,5,1,14,1S
QS 8D TH 7D TC 8H 3S 9S 6D 9H KD JS 5S,5,3,4,1,6,PASS
AS 7H 5C JD 6S JS TS 6D AD 7S 7C QS AH,6,2,3,2,16,1S
8D 9H QD 7S 7D TH 2D TC 4S 7C 2C KH 9D,2,3,5,3,5,PASS
KS QC 7D KH 7H QD 6C 9D 5S JS AD 4D JH,3,3,5,2,16,1NT
JH 3D 4H 6C AH TS 9D QC 5C 3S 4C QH 6S,3,4,2,4,9,PASS
KC QS KH AS 8H AH 7H TS 6H 3S 4H AC JC,4,6,0,3,21,1C
TH 7S 8S 9D JC 5C 5H KH AH 3C TD TC KD,2,4,3,4,11,PASS
8D 5S 9D AC TC 8S 6C KS 2C QC 2H QS KH,4,2,2,5,14,1C
QD 2C AD 8H 2D 9S 7S QH KD TS JC 7C 7D,3,2,5,3,12,1D
KH KS 4C AC QS KC 7C 6H 9C 4H 4D 3S QD,3,3,2,5,17,1NT
3S 3D JC KD KH AD QC 4S 2D 5S 9H 4H 5H,3,4,4,2,13,1D
9C JS AC TC 4D 7S 3C JD AD TH 2S KH 8S,4,2,3,4,13,1C
TD 8H 2H 9C 3C JS 3D JD QS KD 7C AS AC,3,2,4,4,15,1NT
2S 6D 5H AH JH 8S KS 9H QS 3D 5D 7S 6H,5,5,3,0,10,1S
QD 9C 6H 6C 5H AH KC KH 3C 9D 6S 5S 7H,2,5,2,4,12,1H
KS AH JS QD KC 6S 8D 2D TS 2S 7S 2H 5C,6,2,3,2,13,1S
6D QS 9S 9D JD 7H 8C 8H 6C 7C AS 2C JC,3,2,3,5,8,PASS
4C 3H 7C 9S JD QS 7S KH 5S TH 8H AD 6C,4,4,2,3,10,PASS
4S 4C 6D 7C 9C 3H TC TS JH 8S 7H JC 2S,4,3,1,5,2,PASS
TD 2S 6D QC 9D 3D JH 7S 5C 7C KS 3H 8S,4,2,4,3,6,PASS
TH 3C 5S 7S 9S JD 8D AC 9D 6C TC 7D KC,3,1,4,5,8,PASS
TC 9D AC QS TS 4C 4H 8H 5H 7D AD 2C 4S,3,3,3,4,10,PASS
TC KC 7H JD 3S AD 9S 5S QH 5D TS 7C TH,4,3,3,3,10,PASS
7H TS 2D QC 4D 7S TD KD 6C 3C 9C 9D AS,3,1,5,4,9,PASS
7C TC QC AD KD 7H 9C 5D 8H KS AC 8D 9D,1,2,5,5,16,1D
9S 7S JH 5H AD 6H 2S 2C 8S AH 5D 6D 7H,4,5,3,1,9,2C
5D AC AS KS 6C 4C 7C AD 6S 8H 6D 5C 4S,4,1,3,5,15,1C
TS 5H 5C TH 6S 3H 8D JD 3D 4D 7S JC 3S,4,3,4,2,2,PASS
JC 5H 4D 2H 6S JS TH 9H 4H 7S 8D 3C JH,3,6,2,2,3,PASS
JD 3H 5H 4S JC KS 6C 3S 6H JS 9C 6S QS,6,3,1,3,8,2D
3H 8C QD KC 9S 6H 7C 7D TH 6C TS QS 2S,4,3,2,4,7,PASS
JD TD 4D 3S JS QH 6S 6D 7H JH 9H 7C 5S,4,4,4,1,5,PASS
QC TS 4H QH KC 8S KH 9C KS JC 7C 7H 9H,3,5,0,5,14,1H
9S TC 9D 6D 4C KD 5C 7S 2S KC QH 9C KS,4,1,3,5,11,1C
2C 3C KD 5S 5H QD JC 7C 9D AC 6D AH QH,1,3,4,5,16,1D
QH AS 7C JH 9S AH TH 9H JC KD 9D 4C 5S,3,5,2,3,15,1H
6H 2D TS 5C AH 2H 2C 9C 3C 4S 7H JC KH,2,5,1,5,8,PASS
9S KH 6H 3H 5S 2H 8C JC 8S QH 5C 5H 3S,4,6,0,3,6,2C
5H QH 3S AC 9D KH QD TH 8D 6H 4H 8C 7D,1,6,4,2,11,1H
7C 3D 4S 3C 6D KS 7H 6C 4D 9D KD JH 5H,2,3,5,3,7,PASS
7D QS JC 2H AC 7C QH 3S KH 7H 6S QC KD,3,4,2,4,17,1NT
9S 6C 4C 6H 9C 7C QC JS 5D 4H TH KC 3C,2,3,1,7,6,PASS
JC 3S AC 9H 8S AH JS 4C 5H 3D 6D 4D KC,3,3,3,4,13,1C
8H QD 6S 8D 3S 5D 9H AD 5S TS TD 3D QH,4,3,6,0,8,PASS
KS 7D 8H 6D JD 3C 5D QD 5C QS TD AC 3H,2,2,6,3,12,1D
KC 2H KS TC KH 7H 3S 4H QC 5D TS 6C 8H,3,5,1,4,11,1H
QH 4S 8S 8D 3D 9D TD 6S 9S 7D 6C 6H TC,4,2,5,2,2,PASS
6H TS AH JH TD KS 4D 9S 9C 4S 5H AS 6D,5,4,3,1,12,1S
AD QH 4C JS 2S QS 6H AC 6D JC 9D TS 5D,4,2,4,3,14,1D
KD 3H QD QC 7H 6D 7C 9C 7S 4C JH JS TC,2,3,3,5,9,PASS
2C 9D JH 9H 8C 4S AC QD 4C 7H 5C 8D KS,2,3,3,5,10,PASS
AS 7D QC 9D 7S JD AH 8H KS TC 6C 8C 6H,3,3,3,4,14,1C
3C 4H 4D 5S AS 7S 7C 4S AD KH 8D QC QH,4,3,3,3,15,1NT
2C 2S 9H AH QH 5C 5D 2D JS 4S 2H 9S 4C,4,4,2,3,7,PASS
JH 4C AH AC 2H QS 2S KH QD TH AS 2D KD,3,5,3,2,23,1C
7D 8S 4H 8D 4D 9S 5S 4C AC 9D KS KC 7H,4,2,4,3,10,PASS
QC 9S QH JC 3C JH TH QD QS 7D 9C 3D AH,2,4,3,4,14,1C
9C AD 7D 6H 5C QC 6D 3S 2C 4D 5D JD 4C,1,1,6,5,7,PASS
JC 6H TD AC 6S QC 5D 7D AH 4C AS 3S QD,3,2,4,4,17,1NT
